DOY,HOUR,MIN,Year,SEC,MSEC,DECIMALDAY,BX(nT),BY(nT),BZ(nT),RANGE,POSNX(km),POSNY(km),POSNZ(km),Distance from Sun(AU),XCOM(nT)R^2,Magnitude,atan2(y/x),angle,originalangle,CorrectedAngle
323.0,8.0,29.5,2012.0,31.0,57.93333333333333,323.3541789216668,-0.7553333333333333,-0.42150000000000004,2.5623333333333336,0.0,328460217.8683334,-0.5497500000000002,-0.24000000000000019,2.1955896916332445,-3.6411763223555993,3.6411763223555993,-45.07826422694868,65.72765869924167,-110.80592292619036,-87.07826422694869
323.0,9.0,29.5,2012.0,31.0,53.53333333333333,323.39584553000014,-0.6979999999999998,-0.8279999999999998,2.500333333333335,0.0,328448309.5516667,-0.5486499999999992,-0.24000000000000019,2.1955100905860068,-3.3645381381261936,3.3645381381261936,-64.97407314655631,65.72688025255532,-130.70095339911163,-64.97407314655631
323.0,10.0,29.5,2012.0,31.0,49.083333333333336,323.43751214500014,-0.8933333333333334,-0.3991666666666666,2.575166666666666,0.0,328436394.505,-0.5475666666666666,-0.24000000000000019,2.195430444552139,-4.305781825928179,4.305781825928179,-42.4340366890408,65.72610131897962,-108.1601380080204,-90.43403668904082
323.0,11.0,29.5,2012.0,31.0,44.75,323.4791787649999,-0.991166666666667,-0.3123333333333333,2.6546666666666683,0.0,328424472.7283333,-0.5464666666666665,-0.24000000000000019,2.1953507535316397,-4.776992471293808,4.776992471293808,-37.03097887897412,65.72532189843102,-102.75630077740514,-97.0309788789741
323.0,12.0,29.5,2012.0,31.0,40.28333333333333,323.5208453799999,-1.0098333333333331,-0.4096666666666666,2.6888333333333323,0.0,328412544.2233333,-0.5453666666666676,-0.24000000000000019,2.1952710175356507,-4.866598189555932,4.866598189555932,-92.39144230001055,65.72454199093494,-158.11598429094556,-92.39144230001055
323.0,13.0,29.5,2012.0,31.0,35.9,323.56251199833315,-0.8885000000000002,-0.2833333333333333,2.6873333333333322,0.0,328400608.98833317,-0.5442833333333337,-0.24000000000000019,2.1951912365530304,-4.2815732885914635,4.2815732885914635,-97.3506043128547,65.72376159629874,-163.07436590915347,-97.3506043128547
323.0,14.0,29.5,2012.0,31.0,31.483333333333334,323.6041786133333,-0.9723333333333332,-0.7971666666666669,2.5663333333333345,0.0,328388667.0266667,-0.5431833333333329,-0.24000000000000019,2.19511141060606,-4.685197920140182,4.685197920140182,-75.87894690158518,65.72298071465666,-141.60192761624185,-75.87894690158518
323.0,15.0,29.5,2012.0,31.0,27.083333333333332,323.64584522333337,-1.018666666666667,-1.243,2.3494999999999995,0.0,328376718.3333333,-0.5420666666666674,-0.24000000000000019,2.1950315396613194,-4.908098696624979,4.908098696624979,-65.01597191385905,65.72219934559799,-130.73817125945703,-65.01597191385905
323.0,16.0,29.5,2012.0,31.0,22.7,323.6875118416668,-1.0078333333333331,-1.1400000000000003,2.3063333333333333,0.0,328364762.91333324,-0.5409000000000003,-0.24000000000000019,2.1949516237522286,-4.855553555100148,4.855553555100148,-68.42899209762284,65.72141748936585,-134.1504095869887,-68.42899209762284
323.0,17.0,29.5,2012.0,31.0,18.283333333333335,323.7291784583334,-0.8774999999999998,-0.8281666666666667,1.917999999999999,0.0,328352800.7649999,-0.5397999999999998,-0.24000000000000019,2.194871662867647,-4.227302263168503,4.227302263168503,54.71007552259907,65.72063514576745,-11.010559623168406,-95.28992447740096
