DOY,Magnitude,angle
306.0,2.7638447567414692,-77.83929102165752
307.0,4.831502996418721,41.04261063427504
308.0,4.459890302334051,62.624323858393005
309.0,3.66116414532645,98.16381823670342
310.0,5.138220284608779,100.0693252899116
311.0,7.66652991428739,3.496601466937918
312.0,5.729362908541995,58.906708245637724
313.0,4.991899643641461,47.88091519467409
314.0,3.8035936728922732,93.43821307469376
315.0,2.2018773829920955,86.99958916038419
316.0,1.7992918011348102,69.22640356334294
317.0,1.9184105846607848,48.10006921271973
318.0,1.6974855730826413,26.612986938888948
319.0,2.032365547322612,33.42385707423642
320.0,2.1601438674454823,64.41041484160966
321.0,3.690322340731385,58.24544997783111
322.0,3.9371227624476313,-73.18935483416924
323.0,2.7047934942999516,-50.529334366651895
324.0,1.848086751281134,-116.16250075025837
325.0,1.5663699429911007,-122.13510601523451
326.0,1.3574414833207262,-124.41446200019207
327.0,2.4365186280058038,-75.11115253125074
328.0,3.522456453851983,-70.74297658489718
329.0,1.4431245409832285,-91.59991491909756
330.0,1.6454838209419775,30.134288662826556
331.0,5.048800429077351,-53.94202197522765
332.0,6.204118334617485,-81.64896918072807
333.0,5.0471943472426695,-35.69541277934357
334.0,3.766462314238722,61.49705559351424
335.0,3.0772500740006588,46.74800934684734
336.0,3.563437495598415,91.92275074873938
337.0,3.8231692702866678,101.89559459359116
338.0,4.4366521103481835,102.87009040678804
339.0,3.9468317516195732,71.79424863339985
340.0,4.904285304058536,81.05272967442815
341.0,5.209714714502838,93.9896948553022
342.0,3.3740971717047343,107.554029689264
343.0,2.6924012650993125,82.7454330034898
344.0,3.465813256314099,74.84119823724564
345.0,2.883340343082056,73.26554308491431
346.0,2.566788555182357,102.57749244007586
347.0,2.079711890265753,85.15658793992877
348.0,3.491645879935344,28.09295558303116
349.0,4.082083726244736,-86.86881758005677
350.0,2.9716706952638403,-86.98283225291993
351.0,3.108679921981332,-81.1651662653817
352.0,2.2655247701776955,-99.04137695605846
353.0,2.564989080877549,-38.897372325009414
354.0,3.715642983172937,84.03644665237049
355.0,4.343278408853942,-92.46534567889213
356.0,2.3375497641618246,-78.48669671100593
357.0,2.6260091097085927,-104.83909601787855
358.0,4.089480020871357,-75.59312171993845
359.0,4.594792769764404,-64.46760388664565
360.0,3.897859300630487,-79.35168165923612
361.0,3.956319454850348,-65.61948752352848
362.0,2.0035266385247037,17.554830758817847
363.0,3.2598579023363548,97.46658964629587
364.0,2.1642378398079014,67.35116773279131
365.0,3.824573509726572,35.72338214069673
366.0,,
