DOY,HOUR,MIN,year,SEC,DECIMALDAY,BX(nT),BY(nT),BZ(nT),RANGE,POSNX(km),POSNY(km),POSNZ(km),R^2 Br,Distance from Sun(AU),XCOM(nT)R^2,Magnitude,atan2(y/x),angle,originalangle,CorrectedAngle
313.0,12.0,29.5,2015.0,31.0,313.52084528666677,-0.116,-0.23549999999999993,-0.13099999999999998,0.0,774355877.9883332,-30.56448333333335,-0.311,-3.091411523299999,5.176175655002231,-3.1079652368272708,3.1079652368272708,-37.21458655591086,79.17156319826945,-116.38614975418038,-37.21458655591086
313.0,13.0,29.5,2015.0,31.0,313.5625119133335,-0.1275,-0.2743333333333331,-0.08350000000000003,0.0,774368283.6616665,-30.56545000000003,-0.311,-3.397989875333332,5.176258580626118,-3.4161852370748833,3.4161852370748833,-35.305779093827546,79.17173257264038,-114.47751166646792,-35.305779093827546
313.0,14.0,29.5,2015.0,31.0,313.60417853166655,-0.11416666666666668,-0.14800000000000005,-0.16899999999999998,0.0,774380687.3966666,-30.566433333333343,-0.311,-3.042753736649999,5.176341493293231,-3.0590469002419445,3.0590469002419445,-45.028473060857166,79.1719019153132,-124.20037497617037,-51.028473060857166
313.0,15.0,29.5,2015.0,31.0,313.64584515666655,-0.1576666666666667,-0.1626666666666667,-0.1571666666666667,0.0,774393089.1616664,-30.567399999999996,-0.311,-4.202236693883332,5.176424392791893,-4.224738590416225,4.224738590416225,-55.106802892636104,79.17207122585835,-134.27887411849454,-55.106802892636104
313.0,16.0,29.5,2015.0,31.0,313.68751177166655,-0.1891666666666666,-0.21100000000000013,-0.07549999999999996,0.0,774405488.9833332,-30.568366666666645,-0.31115000000000015,-5.041956773933333,5.176507279300359,-5.068955155536932,5.068955155536932,-52.725993095611905,79.1722405046426,-131.89823360025449,-52.725993095611905
313.0,17.0,29.5,2015.0,31.0,313.72917839333337,-0.132,-0.09816666666666667,-0.20500000000000007,0.0,774417886.8500001,-30.569349999999968,-0.31199999999999994,-3.5183663642500007,5.176590152740646,-3.5372063111230934,3.5372063111230934,30.781167788181616,79.17240975150938,-48.39124196332777,-83.21883221181838
313.0,18.0,29.5,2015.0,31.0,313.77084501500013,-0.14250000000000007,-0.09599999999999999,-0.2854999999999999,0.0,774430282.7683332,-30.570316666666645,-0.31199999999999994,-3.7983685335333335,5.1766730131573135,-3.8187078200109577,3.8187078200109577,-68.03552048247079,79.17257896655241,-147.2080994490232,-68.03552048247079
313.0,19.0,29.5,2015.0,31.0,313.8125116366667,-0.2416666666666666,-0.24183333333333323,-0.40449999999999997,0.0,774442676.7366668,-30.5712833333333,-0.31199999999999994,-6.441893581049997,5.176755860539219,-6.476388264149943,6.476388264149943,-57.63804906208978,79.17274814975164,-136.81079721184145,-57.63804906208978
313.0,20.0,29.5,2015.0,30.879310344827587,313.85483678793094,-0.2372413793103449,-0.4746551724137932,-0.4241379310344828,0.0,774455264.5913798,-30.572275862068974,-0.3119999999999999,-6.324117912482759,5.176840003953073,-6.357981937150252,6.357981937150252,-37.749453645913995,79.17291997425144,-116.92237362016542,-37.749453645913995
313.0,21.0,29.5,2015.0,30.0,313.89584488333315,-0.1981666666666667,-0.5945000000000001,-0.4476666666666667,0.0,774467458.818333,-30.57323333333336,-0.31199999999999994,-5.282692687033333,5.176921516165334,-5.310980147475647,5.310980147475647,-29.13576054711803,79.17308642056126,-108.30884696767926,-29.13576054711803
313.0,22.0,29.5,2015.0,30.0,313.93751149666656,-0.09466666666666665,-0.6586666666666667,-0.29083333333333333,0.0,774479846.9249998,-30.574200000000015,-0.31199999999999994,-2.523673542633334,5.177004324364975,-2.5371871653248608,2.7069297112687187,-20.00801691751489,79.17325550808606,-99.18127242560091,-20.00801691751489
313.0,23.0,29.5,2015.0,30.0,313.97951198653857,0.007307692307692301,-0.4728846153846154,-0.029038461538461513,0.0,774492332.3173077,-30.5751730769231,-0.3119999999999997,0.19477692753846257,5.177087782869706,0.19581990791715811,5.844958625228135,-8.695054403597915,79.1734259181869,-87.86848032178483,-8.695054403597915
